股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
1231,2019-08-21,2019-08-23,45.7,45.1,-1.31,2,失敗
2441,2019-08-21,2019-08-22,44.0,43.75,-0.57,1,失敗
4119,2019-08-21,2019-08-28,98.4,98.2,-0.2,7,失敗
2107,2019-08-23,2019-08-26,18.9,18.6,-1.59,3,失敗
00677U,2019-08-26,2019-08-30,5.64,5.31,-5.85,4,失敗
0061,2019-08-27,2019-08-28,17.77,18.0,1.29,1,勝利
00743,2019-08-27,2019-08-29,20.77,20.68,-0.43,2,失敗
1231,2019-08-27,2019-08-29,45.5,43.35,-4.73,2,失敗
2495,2019-08-27,2019-09-03,12.95,14.45,11.58,7,勝利
3622,2019-08-27,2019-09-03,18.7,19.4,3.74,7,勝利
4144,2019-08-27,2019-08-28,29.05,28.8,-0.86,1,失敗
2484,2019-08-28,2019-08-29,20.95,21.45,2.39,1,勝利
006205,2019-08-30,2019-09-02,30.76,30.96,0.65,3,勝利
006208,2019-08-30,2019-09-06,46.28,47.12,1.82,7,勝利
00647L,2019-08-30,2019-09-03,35.65,35.09,-1.57,4,失敗
00662,2019-08-30,2019-09-02,32.79,32.5,-0.88,3,失敗
00692,2019-08-30,2019-09-06,21.38,21.73,1.64,7,勝利
00701,2019-08-30,2019-09-06,22.17,22.46,1.31,7,勝利
00728,2019-08-30,2019-09-06,18.67,18.89,1.18,7,勝利
00735,2019-08-30,2019-09-06,18.0,18.49,2.72,7,勝利
2303,2019-08-30,2019-09-03,13.45,13.2,-1.86,4,失敗
2328,2019-08-30,2019-09-02,23.9,23.75,-0.63,3,失敗
2348,2019-08-30,2019-09-02,45.85,46.65,1.74,3,勝利
2360,2019-08-30,2019-09-06,152.0,157.0,3.29,7,勝利
2379,2019-08-30,2019-09-06,215.0,216.5,0.7,7,勝利
00673R,2019-09-02,2019-09-03,15.47,15.54,0.45,1,勝利
4438,2019-09-02,2019-09-03,159.0,153.5,-3.46,1,失敗
9914,2019-09-03,2019-09-04,182.0,183.5,0.82,1,勝利
